name	criterion	diff_prop	variability
Dnajb6	1.07349958317275	0.157496481551019	0.0215247418720702
Rfx3	1.02044645185559	-0.137973544650124	0.0182814737714132
Ace	1.00563664344713	-0.165105489459999	0.0269550937344145
Trerf1	0.989406843411866	0.163576267342108	0.0273332181615012
Mettl5	0.95824067725743	-0.138593930486555	0.0209189179961353
Mup21	0.939085190430647	0.162126655478852	0.0298056683035236
Asb4	0.931707473881838	0.189555610728584	0.041391782473771
Gm15318	0.920884899906663	0.178498194009749	0.0375713628979297
Aurkb	0.909243923053797	0.227133623434099	0.0624025079331676
Ttc26	0.900701785222432	0.189687628013382	0.04435228145859
Gm26813	0.897724546103801	0.155421121732272	0.0299732528980895
Dlc1	0.887338493611284	0.163989537581327	0.0341549487807024
Nlrp3	0.871200995383081	-0.126369246532545	0.0210400160222455
Nlrc3	0.867643551855581	-0.219247497574512	0.0638537787667301
Cd200	0.866223065539111	-0.14383340795374	0.027571478385947
Fhod3	0.865487944642585	0.158701267122995	0.0336231766787519
Fer1l5	0.860245814915783	-0.139732313573272	0.0263844814221769
4930451G09Rik	0.856226736979411	-0.182119037757985	0.0452410966347992
Rsbn1	0.85202177076203	-0.154421505061823	0.0328483967860501
Fbxo10	0.849444847717929	0.187989256349141	0.0489773955156741
Maml2	0.840841426744436	-0.150807338302458	0.0321674584620121
Actb	0.840100839821397	0.159796906028068	0.0361804442270682
5330417C22Rik	0.836409489875899	-0.169537214129572	0.0410858410449516
Myzap	0.835000275314695	0.180735840885638	0.0468506187240367
Rtl10	0.824376487064114	0.169077602760372	0.0420650074969057
Ccpg1os	0.813877503041011	0.107017010569226	0.0172897033662718
Cct3	0.813265208852476	0.159087744061932	0.0382656468607569
Zfp667	0.81160364242058	-0.135102920696189	0.027710317429109
Pole2	0.811219411961975	-0.181200520447995	0.0498932980280756
Npff	0.806884223915718	-0.14297139501625	0.0313961113660929
Gm43268	0.803186344949597	-0.144195193496878	0.0322306404609632
Card19	0.798865098552231	0.124618959627287	0.0243344394698967
Frat2	0.796910734779726	-0.132412419570803	0.027608199778573
Ankrd24	0.795169059912886	0.1160435696752	0.0212972345169386
Col24a1	0.790530176296132	0.14723747589876	0.0346896423473888
Eif5a2	0.790456569391095	-0.14605222999964	0.0341397517216936
Gm21399	0.788676556152154	-0.159796659312754	0.0410523032928483
Spata24	0.786598511008762	-0.159636199576724	0.0411866548409565
Sh3d21	0.784254895412365	0.163793560585903	0.0436193481370271
Dzip1	0.783344653737487	0.140670117398656	0.0322476396612665
Cyp2a21-ps	0.782366055766515	-0.153172820702936	0.0383304061302732
Sell	0.775908159896877	0.135754406673224	0.0306116848483115
Dcdc2b	0.772879953261478	0.162664218463474	0.0442955375200148
Borcs8	0.771574063532661	-0.100394772981609	0.0169303900308889
Ldb1	0.766978396466517	0.157586847786505	0.0422156688213884
Ccl25	0.766866437718564	-0.125925140767089	0.0269640688794857
Fancm	0.76141478555344	0.0949236700877991	0.015541983038001
Stox2	0.757693246470206	-0.148072305496754	0.0381909836563172
Kazald1	0.752013346434206	0.12789053290547	0.0289218252263895
Pde8b	0.750910856662828	0.134255001252619	0.031965697046187
2900076A07Rik	0.74827542733963	-0.12876648734876	0.0296130220495462
