name	criterion	diff_prop	variability	origin
Sgce	15.3101720654873	-0.995350813949609	0.00422661031559303	P
Peg10	13.8451219769723	-0.9974574344477	0.00519033238628131	P
Airn	11.8110866608159	-0.990701960826965	0.0070356841242139	P
Zdbf2	11.7557102831529	-0.974592018174921	0.0068730254422925	P
Rian	11.4318491982603	0.985271218624769	0.00742811500930054	M
Gm9801	11.3597051741655	-0.984099245710538	0.00750487871142318	P
Meg3	10.7812069702631	0.980753293661114	0.00827531975565783	M
Zrsr1	10.5836187407152	-0.997710546543446	0.00888670477729145	P
Peg3	10.4288989630665	-0.986245759435718	0.00894320895162224	P
Gm38393	10.0825396467014	-0.998787431128607	0.00981310080483766	P
Gm44831	9.92586171772879	-1	0.0101499419624221	P
Mirg	9.64006050749444	0.981559608946383	0.0103674950857211	M
Mkrn3	9.31096316476947	-0.979397105606259	0.0110644139455927	P
Gm16574	8.98919737335152	-0.989203325760381	0.0121095862054537	P
H19	8.95239311644335	0.968440265862324	0.011702196523906	M
B230209E15Rik	8.43278913063387	-0.98001665018725	0.0135059279165373	P
Kcnq1ot1	8.31024437779979	-0.996927788960055	0.0143912929408915	P
Slc38a4	8.01879238912483	-0.94724688258639	0.0139543120431239	P
Gm7162	7.83385882599477	-0.977276062526896	0.0155626317391369	P
Usp29	7.80335250771029	-0.981612487402023	0.0158240518340237	P
Gm44742	7.55520052906835	-0.888017352914083	0.0138150007669063	P
Gm44562	7.53187778754724	-0.986922080968971	0.0171695614546698	P
Mir1188	7.4965167005812	0.965036848733171	0.0165717650601858	M
Gm44559	7.4280938577131	-0.990010185184608	0.0177633371970315	P
Peg13	7.30003710346921	-0.998775416416149	0.0187191253905403	P
Rasgrf1	7.18647246204887	-0.97532527677053	0.0184190585246028	P
Plagl1	7.01589947939805	-0.977053888957198	0.0193941307563999	P
Inpp5f	6.6604961249585	-0.550431141596373	0.00682956171461194	P
Snhg14	6.28999787741545	-0.988841322237536	0.0247145220160282	P
Nap1l5	6.28145096687864	-0.997892314724859	0.0252375625197957	P
Gm16044	6.256485144287	-0.821657786911501	0.017247299918446	P
A230057D06Rik	6.15374518064629	-0.845640936199568	0.0188839559795761	P
9330162G02Rik	6.0617154376594	-0.911374430889307	0.0226049000076801	P
Grb10	6.03139883640285	-0.814371992812068	0.0182309610403462	P
Snrpn	5.70380462033067	-0.997663873622893	0.0305942077361259	P
Ndn	5.66511938959138	-0.986546283621487	0.0303261162989064	P
A330076H08Rik	5.63387764704163	-0.853925793819869	0.0229734088796738	P
Mcts2	5.38280719525208	-0.830249798190822	0.0237902994676372	P
Igf2r	5.14641455064829	0.592872878266323	0.0132713051249508	M
Impact	5.09449469903162	-0.923509893416637	0.0328610075582672	P
A230103L15Rik	4.81729154987564	-0.980244027003531	0.0414059303034719	P
Kcnk9	4.75025041819289	0.933479799224538	0.0386168494051208	M
Gm3257	4.70385382078151	-0.823461290729311	0.0306463490324261	P
Cdkn1c	4.63024373758959	0.722105844540614	0.0243217048613271	M
Commd1	4.60718628956771	-0.62350927977997	0.0183153109706765	P
Igf2	3.63824681647143	0.44248033596064	0.014791207661873	M
Ago2	2.82410406168475	0.229355085507421	0.00659561591994567	M
Gm11410	2.53890995824531	0.583759703480991	0.0528656561967179	M
Herc3	2.42441292708753	0.18070022950813	0.00555525790806717	M
