name	criterion	diff_prop	variability	origin
Zrsr1	15.2436681585241	-0.981759843706787	0.00414793132058889	P
A230006K03Rik	12.423304668112	-0.983067273091489	0.00626169925493054	P
Gm3257	12.1928365081846	-0.97579212257097	0.0064047932443893	P
Gm38393	11.5792513256412	-0.999782130714013	0.0074550365991832	P
Copg2	10.2584736069708	0.696595870970471	0.00461101251410914	M
Kcnk9	10.0819898359279	0.997590800307118	0.00979066882113979	M
Peg3	9.74861107853173	-0.993985735451176	0.0103962045254682	P
B830012L14Rik	9.73817203556662	0.994877007787773	0.0104371975392821	M
Zim1	9.2921641281074	0.948612211392729	0.0104218226308343	M
Airn	9.23357022887238	-0.993186001500475	0.0115696938236042	P
Gm24564	9.22265700178179	0.988600221089299	0.0114902450836151	M
Gm44562	9.18719180047717	-0.997176084123597	0.0117808911030622	P
Mir341	8.99593416986557	0.990524463596915	0.0121237751895715	M
Mir1188	8.94028595221943	0.994031980299825	0.0123622605934227	M
Grb10	8.80146763574111	-0.964628702689107	0.0120118574022319	P
Usp29	8.59922087935803	-0.987975536766955	0.0132000073673127	P
Dlk1	8.46958895613337	-0.96625415829061	0.0130154169190022	P
Gm44559	8.46226722520182	-0.991065007883334	0.0137161054056128	P
Gm38451	8.21813046188037	-0.963653021235571	0.013749766150792	P
Nnat	8.11456136559046	-0.929924520189224	0.0131330410214581	P
Gm44643	7.85100567065888	-0.990731137619674	0.0159243253893119	P
Peg13	7.53475789913925	-0.997121333073258	0.0175128735110745	P
Gm44831	7.51548407807253	-1	0.0177045984787209	P
Ndn	7.40165728215678	-0.986774632053802	0.0177737066499991	P
Rasgrf1	7.34590830135466	-0.984850200395186	0.0179741908906584	P
Gm44742	6.71537370834801	-0.967596261749288	0.020760986765621	P
9330162G02Rik	6.68058236774113	-0.940261535253575	0.0198092801638085	P
Snhg14	6.66929254526585	-0.990691696645433	0.0220656898803654	P
Asb4	6.6227144411483	0.866125298072024	0.017103673149967	M
Ago2	6.52288976492378	0.558067263541631	0.00731969552937325	M
Kcnq1ot1	6.46667063800489	-0.998151045114725	0.0238248978807049	P
Impact	6.34900734442235	-0.978377730196144	0.0237466011888007	P
Magel2	6.28647972584307	-0.974012445186725	0.0240056778369554	P
Zdbf2	6.25537502750737	-0.962226214744854	0.0236617937875246	P
Herc3	6.19766979388082	0.461138942969396	0.00553613576604386	M
Inpp5f	6.12279045365915	-0.594466982563691	0.00942663483605515	P
Cdh15	5.69162723654592	-0.856487412792923	0.0226448303666023	P
Peg10	5.66386298189018	-0.997878686895093	0.0310405935220508	P
Nap1l5	5.64579850957647	-0.996880576323617	0.0311770858381644	P
A330076H08Rik	5.60285749611623	-0.97655416097945	0.0303790029650392	P
B230209E15Rik	5.55104707145864	-0.978186062764494	0.0310522533800447	P
Gnas	5.41195253248754	-0.873313421715486	0.0260394802792224	P
Gm44644	5.38624557854459	-0.991640187718425	0.0338950232853882	P
H13	5.35587306531262	0.333889811198615	0.00388638464730001	M
Mirg	5.34115080475151	0.978241065250648	0.0335445599855943	M
Commd1	5.27689478448999	-0.633009285153932	0.0143900827389786	P
Meg3	5.2107513692414	0.98892163923399	0.0360182872670368	M
Mcts2	5.03700242451253	-0.832102167850317	0.0272903425584561	P
Rian	5.02601958806446	0.989648384364624	0.0387715788194605	M
Igf2	4.97557883434091	0.683468131243256	0.0188690186952813	M
Calcr	4.9183298350196	0.969215435689991	0.0388333935193718	M
Gm16044	4.90727811866768	-0.873721417549383	0.0317003910057777	P
Snrpn	4.85787932722018	-0.999141921356186	0.0423020016158263	P
Plagl1	4.80917720348457	-0.981850029597644	0.0416820197957741	P
A230057D06Rik	4.7970520709937	-0.975056373718941	0.0413152690927953	P
Mest	4.56399010742928	0.710370681672588	0.0242259417798778	M
Sgce	4.48198980400547	-0.994356786738981	0.0492201299568746	P
A230103L15Rik	4.44806314263589	-0.986584318357112	0.0491956302715291	P
Begain	4.42439730666753	-0.454585818612677	0.0105565869195932	P
Trappc9	4.35143464047927	0.482948859329851	0.012317919452414	M
Gm9801	4.19351710232689	-0.977450738199036	0.0543291513051234	P
Slc38a4	3.3369538871822	-0.685035134916482	0.042142983962155	P
Gpr1	3.31605498116365	-0.634876928551407	0.0366552043354147	P
Ppp1r9a	2.62461805755696	0.189950090571916	0.0052377743554384	M
Gm16299	2.3876868896362	-0.502997756575146	0.0443789830942348	P
Blcap	2.37958267727364	0.204365747134979	0.00737589315832111	M
